Driver_ID,X_Coordinate,Y_Coordinate,Price_per_km
Driver_0,283.78434676553746,308.1489475140587,9.75
Driver_1,238.3194022781937,155.0044618283106,12.81
Driver_2,556.791746191586,348.2466719696246,9.9
Driver_3,262.95061954930566,81.69415168273134,9.81
Driver_4,404.6869823082609,537.4769661492047,19.7
Driver_5,223.1120118554827,421.12470151131726,11.73
Driver_6,52.51708940571726,388.5664966627759,7.06
Driver_7,597.8817707862747,204.74919656212174,16.3
Driver_8,485.55038315342654,95.4796829286892,11.74
Driver_9,231.94186413467762,164.47475496896382,13.34
Driver_10,206.62374519582343,398.9607222067818,8.7
Driver_11,43.366123262966354,570.5185883986501,18.13
Driver_12,483.5650514517489,408.5210741311439,15.06
Driver_13,101.97508682423914,153.06225625560484,6.01
Driver_14,144.17721887886486,515.8663602190917,16.99
Driver_15,594.6052815306911,133.25022165812356,6.0
Driver_16,283.56606541059983,444.3662242612436,17.47
Driver_17,288.6420720152998,119.52223575385405,9.37
Driver_18,618.7268353993388,308.72443300585076,8.64
Driver_19,586.2567738330202,442.6703426013245,19.99
Driver_20,137.4418789301904,244.62098417860253,6.31
Driver_21,653.2457931752879,275.35406292824064,15.6
Driver_22,188.28445807703775,122.11172856384609,13.62
Driver_23,542.0873342331165,320.23332381261616,8.79
Driver_24,539.9510446230306,257.92114986475855,15.76
Driver_25,432.44700789869785,516.0758259129982,6.0
Driver_26,304.51789997985014,32.96553055905288,18.33
Driver_27,10.381710887806403,344.42179936552975,11.51
Driver_28,672.8025994741588,106.79310947598582,8.52
Driver_29,338.1519175443477,346.47871022942127,13.52
Driver_30,15.65633246352407,376.52768471672454,15.82
Driver_31,490.96134257305334,58.36477972665656,12.11
Driver_32,80.06212931917509,57.49685166324365,12.34
Driver_33,223.2734913847683,134.13181484256424,6.18
Driver_34,333.23200004523693,528.8700468908033,15.39
Driver_35,589.4842541945627,164.9780564843266,13.66
Driver_36,671.9281883241887,317.443369308303,16.21
Driver_37,120.6964473033073,81.07542774263061,13.74
Driver_38,302.94293441491385,16.177206401169766,7.16
Driver_39,86.47585659394596,251.27178682271924,9.71
Driver_40,180.2611233804321,234.5506234182739,5.94
Driver_41,34.16208649310674,508.06258907487774,8.96
Driver_42,103.37838117665923,233.45214550651946,17.6
Driver_43,483.0084654750149,427.82694000305327,7.28
Driver_44,561.143255189469,461.1098063915757,18.74
Driver_45,392.181182609267,238.29891144429445,10.28
Driver_46,494.84116664911363,465.75486407446743,6.99
Driver_47,566.9843815517925,527.4891110878816,6.94
Driver_48,583.9635285048844,361.99967268503167,16.21
Driver_49,684.0460203201338,111.65169584443206,13.05
Driver_50,616.9393725922158,506.767342899713,9.22
Driver_51,558.3858976672605,217.31688118843093,5.43
Driver_52,605.5099003103289,175.47260500256104,16.6
Driver_53,656.4438631857881,461.19992626861034,19.92
Driver_54,442.111513239091,129.37627073821326,13.91
Driver_55,393.3853194617916,222.28623685453306,19.53
Driver_56,114.1888604772474,504.73064447324714,19.31
Driver_57,91.97597508872394,569.8704036223639,5.85
Driver_58,525.5094247763218,459.01609758662755,5.88
Driver_59,83.91621150384891,520.2453370548524,10.87
Driver_60,130.76733504792114,194.9451968032378,16.58
Driver_61,199.65655504647648,334.47257294389635,15.61
Driver_62,437.2777319421365,363.56525731458976,8.66
Driver_63,191.77288242010172,366.9273988630891,13.42
Driver_64,599.4675487892154,491.08187214009627,12.9
Driver_65,152.10513884797928,146.40071578970839,13.77
Driver_66,429.18994356436014,547.4435643207448,19.48
Driver_67,162.67619930334922,48.46141368450414,18.39
Driver_68,330.6393694779206,315.3030169877569,14.3
Driver_69,120.89709443944042,567.5401990097866,9.98
Driver_70,379.96506242002437,99.39130171132967,13.11
Driver_71,634.189123373009,528.0026205928048,5.97
Driver_72,368.62976079871686,356.2188271129876,15.16
Driver_73,634.4504559706959,252.2734257660438,14.95
Driver_74,348.1343418342052,585.0983401908335,13.95
Driver_75,161.5539831707203,562.2667579672857,19.14
Driver_76,517.8977749445733,309.86034271697605,9.76
Driver_77,269.6483253324322,236.4924106091381,11.47
Driver_78,58.334387214252914,167.3155236429357,11.88
Driver_79,217.22725325624137,251.6451431882958,10.19
Driver_80,434.65442341482293,241.2817565999673,18.5
Driver_81,10.317660709171331,388.5566855980389,18.3
Driver_82,108.08869246216736,83.43524048261133,8.76
Driver_83,512.5051333991365,24.536080240176105,15.94
Driver_84,462.3359209938926,91.3863643869056,7.73
Driver_85,14.746290775228914,175.86943010131404,14.35
Driver_86,247.78232273661985,320.6986951372635,15.18
Driver_87,57.97739837899463,528.8664752246941,10.65
Driver_88,529.2843445191812,421.03073242320215,19.62
Driver_89,232.1253965704353,166.1005766872545,6.64
Driver_90,451.55981327324395,386.7537209549498,19.72
Driver_91,593.3332600795675,32.682070414873394,15.11
Driver_92,682.7379704118642,558.0194849004978,17.39
Driver_93,569.1200199390832,148.53341674289092,13.19
Driver_94,651.184359605009,35.81023722908595,14.05
Driver_95,338.38009804659004,24.706328569623725,13.29
Driver_96,651.0658669240618,438.3118526684711,19.06
Driver_97,411.35968035804274,398.60381671950057,13.78
Driver_98,645.3426546546117,172.1130831298792,8.59
Driver_99,305.93554591606454,512.7125995120621,18.9
Driver_100,619.5067482030936,558.2742280502554,16.14
Driver_101,545.8411806004655,90.86623423947638,9.23
Driver_102,598.5828520804765,48.98448559211449,13.86
Driver_103,99.95500545134182,544.9047338634966,15.04
Driver_104,510.03258715136576,70.1108583498295,5.21
Driver_105,680.3673285201116,79.65549439381579,18.4
Driver_106,488.14860777036927,160.29561754649603,5.61
Driver_107,347.54755780251674,324.9377296379438,11.07
Driver_108,645.6835855571873,567.0030899427624,10.79
Driver_109,161.17922024065356,584.2896950071674,19.98
Driver_110,131.53558411127523,305.35827667582515,11.12
Driver_111,452.95577214931944,566.5701667899809,6.06
Driver_112,644.2438120363256,583.9578767380473,17.81
Driver_113,216.29126654557572,585.0478665462517,10.98
Driver_114,179.7115777144182,161.69088383752893,9.99
Driver_115,478.2722087960276,267.43363679290434,13.07
Driver_116,327.9645695773336,85.35573000732843,13.14
Driver_117,72.46873148936007,354.3550168950019,11.88
Driver_118,21.993713584531136,429.88852333631263,9.28
Driver_119,74.6214219526868,83.73921981455288,7.73
